Country,Gender,Age,ID,Time,Action
US,F,18,101,0,Start
US,F,18,101,6803,CHECK_A
US,F,18,101,8774,End
US,M,35,102,0,Start
US,M,35,102,18263,OPT1_1
US,M,35,102,21010,OPT2_1
US,M,35,102,22034,RUN
US,M,35,102,42015,CHECK_D
US,M,35,102,44132,End
US,F,31,103,0,Start
US,F,31,103,71910,OPT1_3
US,F,31,103,75087,OPT2_2
US,F,31,103,81733,RUN
US,F,31,103,105105,CHECK_A
US,F,31,103,129596,End
JP,M,22,104,0,Start
JP,M,22,104,81733,OPT1_1
JP,M,22,104,95466,OPT2_2
JP,M,22,104,98860,RUN
JP,M,22,104,105105,OPT1_3
JP,M,22,104,106560,OPT2_2
JP,M,22,104,111079,RUN
JP,M,22,104,129596,OPT1_3
JP,M,22,104,132733,OPT2_1
JP,M,22,104,133639,RUN
JP,M,22,104,134693,OPT1_3
JP,M,22,104,136407,OPT2_1
JP,M,22,104,137779,RUN
JP,M,22,104,145192,OPT1_1
JP,M,22,104,153880,OPT2_2
JP,M,22,104,155750,RUN
JP,M,22,104,160987,End
JP,F,40,105,0,Start
JP,F,40,105,3325,CHECK_C
JP,F,40,105,3568,End
